排名,影片名称,当前票房,上映日期,累计票房,当前场次,当前人次,票房占比,累计上映天数,当前统计天数,淘票票想看数,猫眼想看数,豆瓣想看数,黄金场票房,黄金场场次,黄金场票房占比,黄金场场次占比,黄金场人次占比
1,流浪地球2,10981943.74,2023-01-22,3672731922.9,78912,236982,30.04,23.0,1,1300622.0,1214895.0,82137.0,3059942.45,21987,27.86,27.86,27.85
2,满江红,9494727.59,2023-01-22,4253867930.8,76367,217967,25.97,23.0,1,598107.0,1099489.0,78743.0,2619286.76,21063,27.59,27.58,27.58
3,无名,4902238.42,2023-01-22,862315022.93,22561,98995,13.41,23.0,1,870977.0,592362.0,88585.0,946602.74,4354,19.31,19.3,19.35
4,深海,4339529.1,2023-01-22,767962632.28,36362,99985,11.87,23.0,1,359479.0,430445.0,110405.0,1013367.08,8493,23.35,23.36,23.3
5,黑豹2,2350530.23,2023-02-07,83726717.12,33247,56998,6.43,7.0,1,227958.0,296086.0,87387.0,618380.84,8749,26.31,26.32,26.36
6,熊出没・伴我“熊芯”,2134385.23,2023-01-22,1354032345.27,20665,51997,5.84,23.0,1,280230.0,431430.0,26585.0,472526.57,4576,22.14,22.14,22.21
7,交换人生,963032.1,2023-01-22,376484728.89,13736,21996,2.63,23.0,1,470356.0,370906.0,20382.0,153828.22,2192,15.97,15.96,16.09
8,阿凡达：水之道,812723.41,2022-12-16,1674353341.84,4870,18000,2.22,60.0,1,1199820.0,1451318.0,231042.0,210487.01,1261,25.9,25.89,25.86
9,风再起时,473150.83,2023-02-05,44564950.96,8233,9998,1.29,9.0,1,83901.0,271578.0,39991.0,78104.23,1361,16.51,16.53,16.62
10,穿靴子的猫2,26650.9,2022-12-23,46395431.05,292,635,0.07,53.0,1,22229.0,11328.0,55215.0,3916.16,43,14.69,14.73,14.8
11,想见你,23741.7,2022-12-24,401476864.36,377,506,0.06,52.0,1,274504.0,567089.0,50483.0,3494.74,55,14.72,14.59,15.02
12,橡树餐厅,21560.0,2022-12-31,338608.24,21,330,0.06,45.0,1,1621.0,2015.0,54.0,0.0,0,0.0,0.0,0.0
13,平凡英雄,16170.0,2022-09-30,217729666.44,72,479,0.04,137.0,1,30522.0,31951.0,6710.0,2920.0,13,18.06,18.06,17.95
14,星球人,9200.0,2023-01-20,26277.95,6,236,0.03,25.0,1,1112.0,1461.0,,1540.0,1,16.74,16.67,16.95
15,中国乒乓之绝地反击,3999.09,2023-02-17,49769361.21,83,84,0.01,-3.0,1,158196.0,260146.0,10458.0,850.0,17,21.25,20.48,20.24
16,深爱,2790.4,2021-08-13,5360523.48,511,85,0.01,550.0,1,30500.0,70511.0,5693.0,717.81,131,25.72,25.64,24.71
17,冰雪与少年,599.0,2023-01-24,10108.6,28,4,0.0,21.0,1,774.0,816.0,,0.0,1,0.0,3.57,0.0
18,西游记之七十二变,7.97,2022-12-30,8297863.94,32,5,0.0,46.0,1,5730.0,,1512.0,0.0,4,0.0,12.5,0.0
19,爱在井冈,3.17,,265831.93,4,1,0.0,,1,,,78.0,0.0,1,0.0,25.0,0.0
20,追光,0.0,2022-09-15,483461.53,1,0,0.0,152.0,1,3441.0,3588.0,,0.0,0,0.0,0.0,0.0
21,相见在鸾峰桥,0.0,2022-11-18,81277.2,1,0,0.0,88.0,1,373.0,278.0,39.0,0.0,0,0.0,0.0,0.0
22,沼泽深处的女孩,0.0,2022-11-25,7952830.77,1,0,0.0,81.0,1,19981.0,22802.0,77250.0,0.0,0,0.0,0.0,0.0
23,变身攻略,0.0,2022-12-24,13080.32,2,0,0.0,52.0,1,567.0,1227.0,27.0,0.0,1,0.0,50.0,0.0
24,极速保镖,0.0,2023-02-14,7000.0,2,0,0.0,0.0,1,11438.0,5751.0,267.0,0.0,0,0.0,0.0,0.0
25,阳光照耀塔什库尔干,0.0,2022-07-23,60864.11,1,0,0.0,206.0,1,743.0,758.0,308.0,0.0,0,0.0,0.0,0.0
26,放牛班的春天,0.0,2005-02-18,7988462.01,1,0,0.0,6570.0,1,,,,0.0,0,0.0,0.0,0.0
27,大鱼海棠,0.0,2016-07-08,574983640.67,2,0,0.0,2412.0,1,,229819.0,61902.0,0.0,0,0.0,0.0,0.0
28,黑豹,0.0,2018-03-09,662590841.81,11,0,0.0,1803.0,1,248085.0,283239.0,72510.0,0.0,2,0.0,18.18,0.0
29,中国机长,0.0,2019-09-30,2913710384.52,2,0,0.0,1233.0,1,7174.0,561040.0,79173.0,0.0,0,0.0,0.0,0.0
30,龙珠超：超级人造人,0.0,2023-01-06,11163924.88,1,0,0.0,39.0,1,30120.0,56738.0,6277.0,0.0,0,0.0,0.0,0.0
31,不能流泪的悲伤,0.0,2023-02-14,28800.0,1,0,0.0,0.0,1,9390.0,78472.0,1066.0,0.0,0,0.0,0.0,0.0
32,我的青春不再见,0.0,2023-02-10,3320.0,2,0,0.0,4.0,1,1073.0,1774.0,,0.0,0,0.0,0.0,0.0
33,可不可以不要离开我,0.0,,0.0,1,0,0.0,,1,49348.0,169777.0,308.0,0.0,0,0.0,0.0,0.0
